,Общая площадь,Долгота,Состояние,Широта,Количество комнат,Количество просмотров,Всего этажей,Серия,Этаж,Длина описания,Год постройки,Высота потолков,Мебель,Возможность обмена,Отопление,Тип предложения,Санузел,кондиционер
190,58.0,74.6207,1510,42.8677,3.0,190,5.0,374,5.0,353,-999.0,-999.0,1148,3843,4104,3143,1229,0
191,68.0,74.569,1510,42.8336,3.0,250,5.0,473,1.0,223,-999.0,-999.0,3131,3843,861,3143,1775,0
192,50.0,74.6012,1510,42.8319,2.0,164,5.0,473,2.0,337,-999.0,-999.0,3131,3843,4104,3143,2341,0
193,36.0,74.6279,194,42.8342,1.0,160,5.0,1189,4.0,244,-999.0,-999.0,716,3843,4104,2623,1229,0
194,55.0,74.5848,1372,42.8682,2.0,411,9.0,2728,7.0,860,-999.0,3.0,771,3843,4104,3143,2341,0
195,75.0,74.6327,1372,42.8697,2.0,333,9.0,2728,9.0,377,2019.0,3.0,771,3843,4104,3143,2341,0
196,97.0,74.5648,939,42.8302,3.0,327,13.0,2728,11.0,1104,-999.0,3.0,3131,3843,4104,3143,2341,0
197,55.0,74.5833,1372,42.8245,2.0,94,4.0,2728,2.0,3,-999.0,-999.0,3131,3843,220,2623,2341,0
198,67.0,74.6417,1372,42.8462,2.0,5,9.0,57,5.0,717,2019.0,-999.0,771,3843,277,2623,1775,0
199,73.0,74.5817,939,42.8821,2.0,241,12.0,2728,7.0,1004,-999.0,3.3,3131,3843,4104,3143,2341,0
200,44.0,74.6929,1510,42.8713,1.0,438,9.0,57,3.0,231,-999.0,-999.0,771,3843,4104,3143,1229,0
201,63.0,74.5883,103,42.8626,2.0,249,12.0,2728,8.0,177,2019.0,3.0,716,3843,4104,3143,409,0
202,47.0,74.5542,1510,42.8652,2.0,454,5.0,1189,3.0,3,1978.0,-999.0,1148,3843,4104,3143,1775,0
203,35.0,74.5832,1372,42.869,1.0,271,5.0,1189,5.0,325,-999.0,-999.0,716,90,4104,3143,1229,0
204,36.0,74.5659,1510,42.8373,1.0,289,12.0,1189,5.0,248,2013.0,-999.0,3131,3843,861,3143,1229,0
205,70.0,74.5344,1372,42.8869,2.0,342,5.0,208,2.0,617,2019.0,2.8,771,721,277,3143,1775,0
206,75.0,74.6318,1257,42.8334,2.0,176,12.0,2728,11.0,468,-999.0,3.3,3131,3843,4104,3143,1775,0
207,125.0,74.5786,1257,42.9082,3.0,142,10.0,1189,8.0,597,-999.0,-999.0,3131,3843,861,3143,2341,0
208,112.0,74.6165,1257,42.8219,3.0,215,10.0,1189,2.0,3,-999.0,-999.0,3131,3843,4104,2623,2341,0
