Общая площадь,Долгота,Состояние,Широта,Количество комнат,Всего этажей,Серия,Этаж,Год постройки,Санузел,Мебель,Отопление,Тип предложения
62.0,74.617,1510,42.8344,3.0,9.0,530,7.0,1983.0,1775,1148,4104,3143
104.0,74.5795,939,42.8403,3.0,9.0,2731,4.0,2018.0,1775,3131,272,3143
16.0,74.584,1510,42.845,1.0,11.0,74,4.0,1993.0,1775,1148,4104,3143
72.0,74.6425,1372,42.8454,2.0,12.0,2731,7.0,2018.0,1775,1148,277,2623
135.0,74.6248,1372,42.8764,3.0,13.0,2731,5.0,2017.0,409,771,4104,2623
58.0,74.6311,1510,42.8247,3.0,4.0,425,3.0,-999.0,1229,716,4104,2623
45.0,74.6109,1510,42.8382,2.0,4.0,425,2.0,-999.0,1229,1148,4104,3143
64.0,74.5554,1510,42.8651,3.0,9.0,530,3.0,-999.0,2353,1148,4104,3143
119.0,74.6317,1257,42.8265,3.0,10.0,2731,2.0,2019.0,2353,3131,4104,3143
227.0,74.6038,1372,42.8193,5.0,12.0,2731,12.0,-999.0,1775,771,272,2623
115.0,74.588,939,42.8543,3.0,10.0,2731,6.0,2019.0,1775,716,4104,2623
58.0,74.6183,1510,42.8285,3.0,4.0,425,1.0,1975.0,1229,716,4104,2623
